VOL,SITE,LANE,MET,ACC,CON
1328,B,3,0,1600,
1348,B,3,0,1600,
1352,B,3,0,1600,
1355,B,3,0,1600,
1364,B,3,0,1600,
1364,B,3,0,1600,
1368,B,3,0,1600,
1370,B,3,0,1600,
1373,B,3,0,1600,
1382,B,3,0,1600,
1384,B,3,0,1600,
1388,B,3,0,1600,
1388,B,3,0,1600,
1396,B,3,0,1600,
1397,B,3,0,1600,
1400,B,3,0,1600,
1400,B,3,0,1600,
1402,B,3,0,1600,
1417,B,3,0,1600,
1419,B,3,0,1600,
1432,B,3,0,1600,
1436,B,3,0,1600,
1439,B,3,0,1600,
1439,B,3,0,1600,
1441,B,3,0,1600,
1447,B,3,0,1600,
1451,B,3,0,1600,
1452,B,3,0,1600,
1452,B,3,0,1600,
1455,B,3,0,1600,
1464,B,3,0,1600,
1467,B,3,0,1600,
1473,B,3,0,1600,
1480,B,3,0,1600,
1481,B,3,0,1600,
1485,B,3,0,1600,
1488,B,3,0,1600,
1493,B,3,0,1600,
1496,B,3,0,1600,
1496,B,3,0,1600,
1498,B,3,0,1600,
1499,B,3,0,1600,
1503,B,3,0,1600,
1505,B,3,0,1600,
1511,B,3,0,1600,
1512,B,3,0,1600,
1513,B,3,0,1600,
1514,B,3,0,1600,
1516,B,3,0,1600,
1516,B,3,0,1600,
1517,B,3,0,1600,
1519,B,3,0,1600,
1520,B,3,0,1600,
1524,B,3,0,1600,
1524,B,3,0,1600,
1528,B,3,0,1600,
1528,B,3,0,1600,
1532,B,3,0,1600,
1535,B,3,0,1600,
1537,B,3,0,1600,
1537,B,3,0,1600,
1539,B,3,0,1600,
1539,B,3,0,1600,
1541,B,3,0,1600,
1544,B,3,0,1600,
1544,B,3,0,1600,
1552,B,3,0,1600,
1552,B,3,0,1600,
1552,B,3,0,1600,
1553,B,3,0,1600,
1555,B,3,0,1600,
1556,B,3,0,1600,
1557,B,3,0,1600,
1557,B,3,0,1600,
1559,B,3,0,1600,
1560,B,3,0,1600,
1564,B,3,0,1600,
1565,B,3,0,1600,
1565,B,3,0,1600,
1566,B,3,0,1600,
1568,B,3,0,1600,
1569,B,3,0,1600,
1572,B,3,0,1600,
1572,B,3,0,1600,
1572,B,3,0,1600,
1572,B,3,0,1600,
1574,B,3,0,1600,
1576,B,3,0,1600,
1577,B,3,0,1600,
1578,B,3,0,1600,
1581,B,3,0,1600,
1582,B,3,0,1600,
1584,B,3,0,1600,
1588,B,3,0,1600,
1589,B,3,0,1600,
1589,B,3,0,1600,
1590,B,3,0,1600,
1592,B,3,0,1600,
1592,B,3,0,1600,
1592,B,3,0,1600,
1594,B,3,0,1600,
1595,B,3,0,1600,
1600,B,3,0,1600,
1600,B,3,0,1600,
1601,B,3,0,1600,
1602,B,3,0,1600,
1602,B,3,0,1600,
1604,B,3,0,1600,
1604,B,3,0,1600,
1604,B,3,0,1600,
1604,B,3,0,1600,
1605,B,3,0,1600,
1606,B,3,0,1600,
1607,B,3,0,1600,
1608,B,3,0,1600,
1608,B,3,0,1600,
1608,B,3,0,1600,
1609,B,3,0,1600,
1609,B,3,0,1600,
1618,B,3,0,1600,
1620,B,3,0,1600,
1621,B,3,0,1600,
1622,B,3,0,1600,
1623,B,3,0,1600,
1625,B,3,0,1600,
1626,B,3,0,1600,
1631,B,3,0,1600,
1632,B,3,0,1600,
1632,B,3,0,1600,
1634,B,3,0,1600,
1635,B,3,0,1600,
1635,B,3,0,1600,
1636,B,3,0,1600,
1636,B,3,0,1600,
1637,B,3,0,1600,
1637,B,3,0,1600,
1639,B,3,0,1600,
1640,B,3,0,1600,
1644,B,3,0,1600,
1644,B,3,0,1600,
1646,B,3,0,1600,
1646,B,3,0,1600,
1648,B,3,0,1600,
1648,B,3,0,1600,
1648,B,3,0,1600,
1656,B,3,0,1600,
1657,B,3,0,1600,
1659,B,3,0,1600,
1661,B,3,0,1600,
1661,B,3,0,1600,
1664,B,3,0,1600,
1664,B,3,0,1600,
1673,B,3,0,1600,
1676,B,3,0,1600,
1681,B,3,0,1600,
1682,B,3,0,1600,
1684,B,3,0,1600,
1684,B,3,0,1600,
1684,B,3,0,1600,
1684,B,3,0,1600,
1687,B,3,0,1600,
1687,B,3,0,1600,
1692,B,3,0,1600,
1694,B,3,0,1600,
1699,B,3,0,1600,
1701,B,3,0,1600,
1704,B,3,0,1600,
1708,B,3,0,1600,
1709,B,3,0,1600,
1709,B,3,0,1600,
1710,B,3,0,1600,
1716,B,3,0,1600,
1716,B,3,0,1600,
1720,B,3,0,1600,
1723,B,3,0,1600,
1724,B,3,0,1600,
1725,B,3,0,1600,
1731,B,3,0,1600,
1737,B,3,0,1600,
1747,B,3,0,1600,
1747,B,3,0,1600,
1748,B,3,0,1600,
1751,B,3,0,1600,
1752,B,3,0,1600,
1753,B,3,0,1600,
1756,B,3,0,1600,
1759,B,3,0,1600,
1764,B,3,0,1600,
1764,B,3,0,1600,
1766,B,3,0,1600,
1768,B,3,0,1600,
1775,B,3,0,1600,
1777,B,3,0,1600,
1778,B,3,0,1600,
1781,B,3,0,1600,
1785,B,3,0,1600,
1787,B,3,0,1600,
1788,B,3,0,1600,
1790,B,3,0,1600,
1792,B,3,0,1600,
1793,B,3,0,1600,
1796,B,3,0,1600,
1799,B,3,0,1600,
1800,B,3,0,1600,
1801,B,3,0,1600,
1802,B,3,0,1600,
1808,B,3,0,1600,
1812,B,3,0,1600,
1812,B,3,0,1600,
1814,B,3,0,1600,
1815,B,3,0,1600,
1816,B,3,0,1600,
1819,B,3,0,1600,
1820,B,3,0,1600,
1820,B,3,0,1600,
1824,B,3,0,1600,
1824,B,3,0,1600,
1826,B,3,0,1600,
1828,B,3,0,1600,
1829,B,3,0,1600,
1832,B,3,0,1600,
1832,B,3,0,1600,
1835,B,3,0,1600,
1837,B,3,0,1600,
1839,B,3,0,1600,
1857,B,3,0,1600,
1860,B,3,0,1600,
1868,B,3,0,1600,
1872,B,3,0,1600,
1873,B,3,0,1600,
1890,B,3,0,1600,
1892,B,3,0,1600,
1894,B,3,0,1600,
1896,B,3,0,1600,
1904,B,3,0,1600,
1920,B,3,0,1600,
1924,B,3,0,1600,
